taxid
1505597
1505596
246273
570417
163164
100901
1394709
1394710
36809
2162
562
301
572092
329726
1266844
438
931626
574087
61635
441768
1318466
762376
562971
1167634
591001
568816
933801
666510
525909
349163
926570
637389
990288
743299
243159
380394
240015
28049
643561
397945
535289
232721
358220
439481
673860
696749
470
480119
557600
1198108
1224747
405416
400667
509173
1096995
1096996
1096997
945556
1455315
889738
497978
1401639
1413216
509170
980514
1100841
1400867
871585
436717
62977
718
434271
416269
537457
339671
743972
696748
59505
1246995
512565
649831
134676
446462
1384484
1036672
1247726
746697
866775
1354302
644
1321367
1419584
1288394
1448139
1418107
380703
1208104
382245
998088
1198449
272557
936046
5341
754507
668336
694569
272556
634176
176299
311403
1183401
358
1435057
311402
9646
349741
393595
930169
391936
388413
596153
596154
521098
1048834
316275
80852
679935
717959
187272
293826
350688
8496
572477
578462
589873
529120
1004786
28108
715451
1417757
572547
429009
698758
208439
1460371
1221524
713604
749927
1068978
1156913
443218
272123
46234
240292
891968
525919
926569
455488
290397
404589
447217
574556
1412841
320483
1412840
234826
1184254
1184253
212042
1173064
1240240
1288291
28377
180454
491915
7460
6500
224324
3702
644284
224325
1344584
572546
387631
693661
1036172
944546
367737
572480
944547
76114
861360
43663
452863
930171
290399
1618207
1494608
1118963
663331
554155
696747
376219
1016881
5105
344612
332952
451804
330879
1069201
227321
425011
1316740
510516
1388766
927772
341663
322098
573065
521095
418699
748247
438753
192
1064539
862719
137722
1328314
1283331
1283330
354
1412898
692420
1091041
1390
1415165
1001582
1423138
999891
1034836
1126211
1292358
1225788
1114958
326423
1385727
1458206
1449088
1150475
1150476
1155777
1392
1436724
592021
673518
743835
191218
198094
568206
768494
1392837
260799
1452727
1449979
261591
720555
1452
1330043
649639
572264
451709
1396
405534
405535
222523
226900
526977
405532
1454382
288681
347495
1217984
269801
405531
334406
361100
637380
66692
941639
345219
1121088
1398
315749
272558
1367477
1246626
766760
1402
279010
592022
1348623
545693
1006007
796606
492670
1405
398511
1408
315750
439292
666686
1570330
1806506
1127744
1628753
98228
1446792
756828
1409
1574141
1423
1204342
1204343
936156
1453990
1136873
1415167
1220533
1233100
645657
1052585
655816
1147161
224308
1221328
1302650
1192196
1232554
1404258
1052588
1428
714359
527021
1218175
1217737
1452729
1195464
529122
541229
930170
281309
1261129
1279365
570416
1286404
412694
1415784
315730
862908
1400053
357276
862962
817
272559
295405
693979
667015
226186
435590
657309
310752
397865
1094489
774
696125
634504
38323
283166
1225179
283165
85701
382640
1094497
1072685
684364
403673
717646
959
765869
1069642
1184267
655819
395963
866536
471853
1263829
1263831
1263832
1171377
1680
367928
28025
703613
442563
1167629
1168290
552531
1075106
742729
1281781
1042403
555970
1316911
573236
1147128
484020
702459
883062
1385938
1385942
866777
1385939
1385940
1385941
936351
326426
1687
401473
1341694
1447716
216816
205913
206672
565040
391904
890402
722911
1300227
565042
759350
1035817
1447715
1254439
665024
701091
665912
1146883
946394
