Pseudomonas aeruginosa
Pseudomonas alkylphenolia
Pseudomonas balearica
Pseudomonas brassicacearum
Pseudomonas chlororaphis
Pseudomonas cremoricolorata
Pseudomonas fluorescens
Pseudomonas parafulva
Pseudomonas plecoglossicida
Pseudomonas pseudoalcaligenes
Pseudomonas putida
Pseudomonas rhizosphaerae
Pseudomonas savastanoi
Pseudomonas simiae
Pseudomonas sp.
Pseudomonas stutzeri
Pseudoxanthomonas suwonensis
Pseudozyma antarctica
Pyrenochaeta lycopersici
Ralstonia mannitolilytica
Ralstonia solanacearum
Raoultella ornithinolytica
Rathayibacter toxicus
Rhizoctonia solani
Rhodanobacter denitrificans
Rhodobacter sphaeroides
Rhodococcus erythropolis
Rhodococcus opacus
Rhodoferax ferrireducens
Rhodoluna lacicola
Rhodospirillum centenum
Rickettsia felis
Rickettsia rickettsii
Roseibacterium elongatum
Rubrobacter radiotolerans
Ruminococcus bicirculans
Saccharomyces sp.
Saccharomycetaceae sp.
Salinibacter ruber
Salinispira pacifica
Salmonella enterica
Sclerotinia borealis
Serratia liquefaciens
Serratia plymuthica
Serratia symbiotica
Shigella boydii
Sinorhizobium meliloti
Sneathia sp.
Sodalis glossinidius
Sodalis praecaptivus
Sorangium cellulosum
Sorghum bicolor
Sphaerulina populicola
Sphingomonas taxi
Spiroplasma mirum
Spirosoma radiotolerans
Sporisorium scitamineum
Staphylococcus aureus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus hyicus
Staphylococcus xylosus
Stenotrophomonas maltophilia
Stenotrophomonas rhizophila
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus iniae
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus salivarius
Streptococcus thermophilus
Streptomyces albulus
Streptomyces cyaneogriseus
Streptomyces glaucescens
Streptomyces nodosus
Streptomyces vietnamensis
Sulfolobus solfataricus
Sulfuritalea hydrogenivorans
Symbiobacterium thermophilum
Synechococcus sp.
Synechocystis sp.
Talaromyces cellulolyticus
Tatlockia micdadei
Terribacillus aidingensis
Thermoanaerobacter kivui
Thermoanaerobacter pseudethanolicus
Thermococcus eurythermalis
Thermococcus gammatolerans
Thermococcus nautili
Thermocrinis ruber
Thermotoga maritima
Thermus sp.
Thioalkalivibrio sulfidiphilus
Thiolapillus brandeum
Thiomonas arsenitoxydans
Tremella mesenterica
Treponema putidum
Trueperella pyogenes
Umbilicaria muehlenbergii
Ureaplasma diversum
Ureaplasma parvum
Uromyces viciae
Ustilaginoidea virens
Valsa mali
Verruconis gallopava
Vibrio anguillarum
Vibrio campbellii
Vibrio cholerae
Vibrio coralliilyticus
Vibrio nigripulchritudo
Vibrio parahaemolyticus
Vibrio sp.
Vibrio vulnificus
Weissella ceti
Wolbachia endosymbiont
Xanthomonas campestris
Xanthomonas citri
Xanthomonas oryzae
Xanthomonas sacchari
Xenorhabdus bovienii
Yersinia enterocolitica
Yersinia intermedia
Yersinia kristensenii
Yersinia pestis
Yersinia pseudotuberculosis
Yersinia rohdei
Yersinia ruckeri
Yersinia similis
Zea mays
Zobellia galactanivorans
Zunongwangia profunda
candidate division
Candidatus Babela massiliensis
Candidatus Baumannia cicadellinicola
Candidatus Hamiltonella defensa
Candidatus Hodgkinia cicadicola
Candidatus Methanoplasma termitum
Candidatus Mycoplasma girerdii
Candidatus Nitrosopumilus sp.
Candidatus Pantoea carbekii
Candidatus Phaeomarinobacter ectocarpi
Candidatus Phytoplasma solani
Candidatus Portiera aleyrodidarum
Candidatus Profftella armatura
Candidatus Saccharibacteria bacterium
Candidatus Sulcia muelleri
